"Input","Output","Updated Feedback"
"Once he came, his mother asked him to up quickly acting that she was tired.","When he came, his mother asked him to get up quickly, pretending that she was tired.","The error is incorrect adverb and phrasing. Use ""When"" instead of ""Once"" for smoother transition. Change ""to up"" to ""to get up"" for clarity and correct phrasing. Replace ""acting"" with ""pretending"" to accurately describe the mother's behavior. Add a comma after ""quickly"" to separate the clauses. This helps you use conjunctions and verbs correctly to express actions and intentions."
"He saw his wife but said no words to her and continued hi way.","He saw his wife but said no words to her and continued on his way.","The error is spelling and phrasing. Change ""hi"" to ""his"" for correct possessive pronoun. Add ""on"" before ""his way"" to complete the phrasal verb ""continued on."" This helps you use possessive pronouns and phrasal verbs accurately."
"His wife walked behind him until they reach home but his mother claimed that his wife told her cruel words and acted that she was crying.","His wife walked behind him until they reached home, but his mother claimed that his wife said cruel words to her and pretended that she was crying.","The error is verb tense and word choice. Change ""reach"" to ""reached"" for past tense. Add a comma before ""but"" to separate the independent clauses. Replace ""told her cruel words"" with ""said cruel words to her"" for clarity. Change ""acted"" to ""pretended"" to accurately describe the action. This helps you use past tense and precise verbs to convey actions and emotions."
"Michael believed his mother although he observed marks of hitting on his wife's shape.","Michael believed his mother, although he observed bruises on his wife's face.","The error is missing punctuation and vague description. Add a comma after ""mother"" to separate the contrasting clauses. Replace ""marks of hitting"" with ""bruises"" for more precise language. Change ""shape"" to ""face"" to specify the location of the bruises. This helps you use descriptive language and punctuation to clarify meaning."
"He fired his wife after insulting her.","He threw out his wife after insulting her.","The error is word choice. Change ""fired"" to ""threw out"" because ""fired"" is typically used for job termination, while ""threw out"" is more appropriate for expelling someone from a home. This helps you use contextually appropriate verbs."
"She was shocked and apologized about a mistake she did not commit.","She was shocked and apologized for a mistake she did not commit.","The error is incorrect preposition. Use ""for"" instead of ""about"" with ""apologized"" because the correct preposition to use with ""apologize"" is ""for."" This helps you use prepositions correctly with specific verbs."
"But his mother refused her apology and ordered him to close the door.","But his mother refused her apology and ordered him to close the door.","This sentence is grammatically correct. You used the past tense properly to describe a sequence of actions, which shows understanding of narrative structure."
"Michael closed the door and knew at that moment he had made a mistake.","Michael closed the door and knew at that moment he had made a mistake.","This sentence is grammatically correct. You used the past perfect tense properly to indicate a realization after a completed action, which shows understanding of tense usage."
"The light bulb.","The light bulb.","This sentence is correct! It is a valid fragment used for emphasis or as a title."
"The light bulb was created on 1879 by Thomas Alva Edison.","The light bulb was created in 1879 by Thomas Alva Edison.","The error is incorrect preposition. Use ""in"" instead of ""on"" when referring to years. This helps you use the correct preposition for time expressions."
"This was one of the everyday invents that affects our lives.","This was one of the everyday inventions that affects our lives.","The error is spelling. Change ""invents"" to ""inventions"" for correct noun form. The verb ""affects"" is correct as it agrees with the singular subject ""one."" This helps you use correct noun forms and subject-verb agreement."
"Edison said to created the first comercially practical incandescent light.","Edison is said to have created the first commercially practical incandescent light.","The error is verb form and spelling. Change ""said to created"" to ""is said to have created"" for correct passive voice and verb tense. Change ""comercially"" to ""commercially"" for correct spelling. This helps you use passive voice and correct spelling in historical descriptions."
"He was neither the first nor the only person trying to invent an incandescent light bulb.","He was neither the first nor the only person trying to invent an incandescent light bulb.","This sentence is grammatically correct. You used the correct structure for parallel negatives, which shows understanding of complex sentence construction."
"Some historians claim there were 20 over inventors of incandescent lamps prior to Edison's version but Edison is often credited with the invention because his version was able to outstrip the earlier versions because of a combination of three factors: "" an effective incandescent material, a higher vacuum than others were able to achieve and a high resistance that made power distribution from a centralized source economically viable. ""","Some historians claim there were over 20 inventors of incandescent lamps prior to Edison's version, but Edison is often credited with the invention because his version was able to outstrip the earlier versions due to a combination of three factors: 'an effective incandescent material, a higher vacuum than others were able to achieve, and a high resistance that made power distribution from a centralized source economically viable.'","The error is word order, punctuation, and quotation marks. Change ""20 over"" to ""over 20"" for correct word order. Add a comma after ""version"" to separate the clauses. Replace double quotation marks with single quotes for consistency in citation style. This helps you use word order, punctuation, and citation style accurately."
"(taken from www.bulbs.com)","(Taken from www.bulbs.com)","The error is capitalization. Capitalize ""Taken"" because it is the first word in a parenthetical statement. This helps you use proper capitalization in citations."
"Edison began a serious research about the incandescent light bulb on October of 1878, and his original design were in 1879.","Edison began serious research into the incandescent light bulb in October 1878, and his original design was in 1879.","The error is article use, preposition, and subject-verb agreement. Remove ""a"" before ""serious research"" because ""research"" is uncountable in this context. Change ""about"" to ""into"" for the correct preposition. Change ""on October of 1878"" to ""in October 1878"" for proper time expression. Change ""were"" to ""was"" for subject-verb agreement with ""design."" This helps you use articles, prepositions, and subject-verb agreement correctly."
"Edison and his research team did his discovery comercialy and create a company called "" Edison Electric Light Company "".","Edison and his research team made their discovery commercially and created a company called 'Edison Electric Light Company'.","The error is pronoun agreement, verb form, spelling, and punctuation. Change ""did his discovery"" to ""made their discovery"" for correct pronoun and verb use. Change ""comercialy"" to ""commercially"" for correct spelling. Change ""create"" to ""created"" for past tense. Replace double quotation marks with single quotes for consistency. This helps you use pronouns, verbs, spelling, and punctuation accurately."
"I think what this is the most useful invention because without this we ca n't live like we live actually.","I think this is the most useful invention because without it we can't live like we live these days.","The error is redundant word, pronoun reference, and adverb. Remove ""what"" for clarity. Change ""this"" to ""it"" for proper pronoun reference. Change ""ca n't"" to ""can't"" for correct contraction. Change ""actually"" to ""these days"" for better time expression. This helps you use pronouns, contractions, and adverbs appropriately."
"Peter looked at his watch and knew that he had to do something immediately.","Peter looked at his watch and knew that he had to do something immediately.","This sentence is grammatically correct. You used the past tense properly to describe a realization, which shows understanding of narrative structure."
"Tom friend of Peter suddenly fainted fell down in the class room I don't know what to do immediately, first calm down yourself and I checked his pulse beat it is okay, then I knew that he is out of danger so I called my classmates everyone rushing to the spot but still he is not moving so we decide to take him into the hospital or call the ambulance, finally we call the ambulance without ant delay.","Tom, a friend of Peter's, suddenly fainted and fell down in the classroom. I didn't know what to do immediately. First, I calmed myself down and checked his pulse; it was okay. Then, I knew that he was out of danger, so I called my classmates. Everyone came rushing to the spot, but he was still not moving, so we decided to take him to the hospital or call an ambulance. Finally, we called an ambulance without any delay.","The error is punctuation, verb tense, and word choice. Add commas around ""a friend of Peter's"" for apposition. Split the run-on sentence into multiple sentences for clarity. Change ""do n't"" to ""didn't"" for past tense. Change ""calm down yourself"" to ""calmed myself down"" for correct reflexive verb form. Add a semicolon after ""pulse"" to separate clauses. Change ""is"" to ""was"" for past tense consistency. Change ""decide"" to ""decided"" and ""call"" to ""called"" for past tense. Change ""ant"" to ""any"" for correct spelling. This helps you use punctuation, verb tenses, and word choice accurately in narratives."
"Everyone eagerly waiting for the ambulance arrival but still not yet reached the reason is our college location is little far from the city that 's why it is getting late.","Everyone was eagerly waiting for the ambulance's arrival, but it had not yet reached us. The reason was that our college location was quite far from the city. That was why it was getting late.","The error is verb tense, punctuation, and clarity. Add ""was"" after ""Everyone"" for past continuous tense. Add a possessive 's to ""ambulance's arrival."" Add a comma before ""but"" and split the sentence for clarity. Change ""not yet reached"" to ""had not yet reached us"" for clarity and correct tense. Change ""little far"" to ""quite far"" for better phrasing. This helps you use verb tenses, punctuation, and clarity in complex sentences."
"We were waiting patiently, finally the ambulance arrived and take him into the hospital immediately.","We were waiting patiently. Finally, the ambulance arrived and took him to the hospital immediately.","The error is punctuation and verb tense. Split the sentence into two at ""patiently."" Change ""take"" to ""took"" for past tense. Change ""into"" to ""to"" for correct preposition. This helps you use punctuation and verb tenses accurately."
"Lately I have seen a very interesting announcement in International Sports Monthly magazine.","Recently I saw a very interesting announcement in International Sports Monthly magazine.","The error is tense consistency. Change ""Lately I have seen"" to ""Recently I saw"" for past simple tense consistency. This helps you use adverbs and tenses appropriately."
"I was interested if I could write such an article and win a prize.","I was interested in whether I could write such an article and win a prize.","The error is preposition and conjunction. Change ""interested if"" to ""interested in whether"" for correct preposition and conjunction use. This helps you use prepositions and conjunctions accurately in questions."
"And I decided to try.","And I decided to try.","This sentence is grammatically correct. You used the past tense properly to express a decision, which shows understanding of narrative flow."
"Nowadays healthy way of life is very popular with most people all over the world.","Nowadays, a healthy way of life is very popular with most people all over the world.","The error is missing punctuation. Add a comma after ""Nowadays"" to set off the introductory adverb. This helps you use punctuation correctly with introductory adverbs."
"And as for me I've been going in for sport for several years.","And, as for me, I've been going in for sport for several years.","The error is missing punctuation. Add commas around ""as for me"" to set off the appositive phrase. This helps you use punctuation correctly with appositives."
"What is my favourite kind of sport?","What is my favourite kind of sport?","This sentence is grammatically correct. You used the correct question form to ask about preferences, which shows understanding of interrogative structure."
"It's ordinary bodybuilding.","It's ordinary bodybuilding.","This sentence is grammatically correct. Just remove the extra space before the apostrophe in ""It's."" This helps you use contractions accurately."
"Why did I choose it?","Why did I choose it?","This sentence is grammatically correct. You used the correct question form to ask for reasons, which shows understanding of interrogative structure."
"I want to be fit and have a good health.","I want to be fit and have good health.","The error is article use. Remove ""a"" before ""good health"" because ""health"" is an uncountable noun in this context. This helps you use articles correctly with uncountable nouns."
"I lost several kilos and I could wear my favourite clothes.","I lost several kilos and I could wear my favourite clothes.","This sentence is grammatically correct. You used the past tense properly to describe a result, which shows understanding of cause and effect."
"It became possible for me to run easily.","It became possible for me to run easily.","This sentence is grammatically correct. You used the infinitive properly to express ability, which shows understanding of modal structures."
