"Input","Output","Updated Feedback"
"Another advantage of travelling by car is that you do n't have to spend time waiting for your other transport, as also as you can avoid the confusion of people that are in the subway stations every morning to get in the line you want to arrive at work in time.","Another advantage of travelling by car is that you don't have to spend time waiting for other transport, and you can avoid the confusion of crowds that are in the subway stations every morning to get in line if you want to arrive at work on time.","Great point! Use ""don’t"" for contraction, ""other transport"" for clarity, and ""crowds"" for noun. ""Get in line"" and ""arrive at work on time"" are the correct phrases. What other advantages do you see in traveling by car?"
"On the other hand, public transport are the only resource some people have to move on, and more than excellent to the environment, it 's also a good way to avoid traffic and spend money on petrol, once it 's cheaper if you catch a bus.","On the other hand, public transport is the only resource some people have to get around, and, more than excellent for the environment, it's also a good way to avoid traffic and spending money on petrol, since it's cheaper if you catch a bus.","Good comparison! Use ""is"" for subject-verb agreement, ""get around"" for idiom, and ""spending money"" for gerund. ""Since"" is the correct conjunction. What do you think is the biggest benefit of public transport?"
"Another disadvantage is that using the car can be useless in some situation, like if you go to a football game by car, you probably wo n't have a place to park it.","Another disadvantage is that using the car can be problematic in some situations, like if you go to a football game by car, you probably won't have a place to park it.","Good observation! Use ""problematic"" for context and ""situations"" for plural. What other situations can make using a car difficult?"
"In conclusion, cars wo n't let public transports be forgot, once more than providing the only way some cars have to travel, cars are n't so convenient for some situations.","In conclusion, cars won't let public transport be forgotten, since, as well as providing the only way some people have to travel, cars aren't so convenient for some situations.","Strong conclusion! Use ""won’t,"" ""public transport,"" and ""forgotten."" ""As well as providing the only way some people have"" is clearer. What situations do you think are best for cars?"
"I think you must go to a large school in the town because here you can have more friends and you can do a lot of other things that you can do in the countryside.","I think you should go to a large school there because you can have more friends and do a lot of other things that you cannot do in the countryside.","Good advice! Use ""should"" for suggestion and ""there"" for clarity. ""Cannot"" is the correct negation. What activities do you think are best in town?"
"I really want to go to a big school in the town because here in the countryside I can go out with my friends or go shopping with them.","I really want to go to a big school, because here in the countryside I cannot go out with my friends or go shopping with them.","Clear preference! Add a comma after ""school"" and use ""cannot."" What do you miss most about town life?"
"I the town you can do everything fun.","In a town, you can do everything fun.","Simple fix! Use ""In a town."" What’s your favorite fun activity in town?"
"You can go to the shopping, to the halfpipes, to the skateparks and you can do a lot of other cool things with your friends but in the countryside no.","You can go to the mall, to halfpipes, to skate parks, and do a lot of other cool things with your friends, but you can't in the countryside.","Great list! Use ""mall,"" ""halfpipes,"" ""skate parks,"" and ""can’t."" What’s your favorite thing to do with friends?"
"But you must go to the school that you want, this is just my advice ok?","But you should go to the school you want. That is just my advice, OK?","Supportive tone! Use ""should"" for suggestion and ""That is just my advice, OK?"" for clarity. What’s most important to you in choosing a school?"
"I really want that you be happy with your new life.","I really want you to be happy with your new life.","Warm wish! Use ""you to be"" for the correct infinitive form. What do you hope for in your new life?"
"A big kiss and a big hug","A big kiss and a big hug","Perfect! No changes needed. Who are you sending this to?"
"Anna","Anna","Perfect! No changes needed."
"I think that the family and friends are the most important in our lives because if you have some problems they are always here and they try to help you.","I think family and friends are the most important people in our lives because if you have problems, they are always there and try to help you.","Heartfelt! Remove ""that"" and use ""people,"" ""problems,"" and ""there."" What’s the best help you’ve received from family or friends?"
"These people can influence in our life for example, if you have a bad friends you become a bad person and you will have probles in your live.so, your education depends on the people around you.","These people can influence our lives. For example, if you have bad friends, you become a bad person and will have problems in your life. So, your education depends on the people around you.","Important point! Use ""our lives,"" ""bad friends,"" ""problems,"" and ""life."" What qualities do you look for in friends?"
"It is not important if these people are friends or family, they can change our lives for better or worst, depend on you choose the best thing that it can help you.","It is not important if these people are friends or family; they can change our lives for better or worse, depending on your choice of the best thing that can help you.","Good reflection! Use a semicolon, ""worse,"" and ""depending on your choice."" What’s the best choice you’ve made for your life?"
"As we know, in our days everything is possible.","As we know, nowadays everything is possible.","Perfect! Use ""nowadays."" What possibilities excite you the most?"
"We have so many advantages that make our lives easier.","We have so many advantages that make our lives easier.","Perfect! No changes needed. What advantage do you value the most?"
"Even the way of studying has changed.","Even the way of studying has changed.","Perfect! No changes needed. How has studying changed for you?"
"In general, people have the possobility to study in libraries or using the computers.","In general, people have the possibility to study in libraries or using computers.","Good point! Use ""possibility"" and ""computers."" What’s your favorite place to study?"
"Studying in libraries asks a lot of quiet and patience.","Studying in libraries requires a lot of quiet and patience.","Clearer phrasing! Use ""requires."" What helps you stay focused in the library?"
"There you must n't speak lauder and you always have to wait for your turn to borrow something or you have to wait if another student has the book you need.","There you mustn't speak loudly and you always have to wait for your turn to borrow something or wait if another student has the book you need.","Good rules! Use ""mustn’t,"" ""loudly,"" and ""wait."" What’s the hardest part about studying in a library?"
"Personally, I think studying on a computer it 's a better chooise.","Personally, I think studying on a computer is a better choice.","Good preference! Remove ""it’s"" and use ""choice."" What do you like most about studying on a computer?"
"I 'm not saying that just because of the easy way by you can study what you want.","I'm not saying that just because it's an easy way that you can study what you want.","Clearer phrasing! Use ""I’m,"" ""it’s,"" and ""that you can study."" What’s your favorite thing about studying on a computer?"
"Studying using a computer offers you the possibility to be more relaxed when you do it.","Studying using a computer offers you the possibility to be more relaxed when you do it.","Perfect! No changes needed. How does this help your learning?"
"In this way, you can maybe read aloud.","In this way, you can, perhaps, read aloud.","Good suggestion! Add commas around ""perhaps."" What else do you enjoy about studying on a computer?"
"If I were a student that usually studies in a library I would definitely try to study on a computer.","If I were a student who usually studies in a library, I would definitely try studying on a computer.","Good idea! Use ""who,"" a comma, and ""studying."" What would you miss about the library?"
"In this way I would n't waste a lot of time.","In this way, I wouldn't waste a lot of time.","Great benefit! Add a comma and use ""wouldn’t."" What else would you save by studying on a computer?"
