"Input","Output","Updated Feedback"
"The staff is really interesting and helped me all the time and the customers were gentle all time.","The staff were really interesting and helped me all the time, and the customers were kind the whole time.","Great job describing your experience! Use ""were"" for ""staff"" and ""kind the whole time"" for natural phrasing. Why is it important to be kind to customers?"
"I learnt lots of things such as dealing with money and tickets and watch movies freely.","I learned lots of things, such as dealing with money and tickets, and watched movies for free.","Well done! Use ""learned"" and ""watched movies for free"" for clarity. What did you enjoy most about this job?"
"We got work at four in the afternoon and it is very relaxing. I had a day off that I spent time at home or going to the gym, where I met hansome guys.","We got to work at four in the afternoon, and it was very relaxing. I had a day off that I spent time at home or going to the gym, where I met handsome guys.","Good detail! Use ""got to work"" and ""was"" for past tense. Why is it important to relax after work?"
"This summer was really great.","This summer was really great.","This sentence is correct! It uses proper punctuation and tense. What made your summer great?"
"I recommend you to try this kind of job in case you want to earn extra money and also meet new people.","I recommend that you try this kind of job if you want to earn extra money and also meet new people.","Good suggestion! Use ""recommend that you try"" for clarity. Why is meeting new people important?"
"Lots of kisses and hugs, please write soon","Hugs and kisses. Please write soon.","Friendly closing! Use ""Hugs and kisses"" for standard closing. Why is it nice to end letters warmly?"
"Love","Love","This is correct! It’s a valid closing."
"Giselle","Giselle","This is correct! It’s a valid signature."
"In this essay I would like to highlight how a wide range of public transport can help people to save a bit of money and a lot of stressful hours stuck in the traffic jam.","In this essay, I would like to highlight how a wide range of public transport can help people save a bit of money and a lot of stressful hours stuck in traffic jams.","Great introduction! Add a comma after ""essay"" and use ""traffic jams"" for plural. Why is saving money important?"
"Firstly as everybody know the cost of the fuel is increasing more and more, adding to those the bill that own a car will bring, it became immediately clear that it is cheaper go around by public transport.","First, as everybody knows, the cost of fuel is increasing more and more. Adding to that the bills that owning a car will bring, it becomes immediately clear that it is cheaper to get around by public transport.","Good point! Use ""First,"" and ""owning a car"" for clarity. Why is public transport cheaper?"
"Why then there still be so many people who prefer to drive their own car instead of seat comfortably on the train or on the tube reading their favorite book on their way to work?","Why are there still so many people who prefer to drive their own car instead of sitting comfortably on the train or tube, reading their favorite book on their way to work?","Interesting question! Use ""sitting comfortably"" and ""tube"" for clarity. Why do people prefer cars?"
"I would say that this is because the public transport are not so efficient as the should do.","I would say that this is because public transport is not as efficient as it should be.","Good analysis! Use ""is"" and ""as it should be"" for clarity. What makes public transport inefficient?"
"In my town for example, I have been Waiting for up to forty minutes before I could take a bus.","In my town, for example, I have been waiting for up to forty minutes before I could get a bus.","Clear example! Use ""waiting"" and ""get a bus"" for clarity. Why is waiting for a bus frustrating?"
"I strongly believe that it is a shame because a lot of people like me would live their vehicles at home and take a train instead.","I strongly believe that it is a shame because a lot of people like me would leave their vehicles at home and take a train instead.","Good belief! Use ""leave their vehicles"" for clarity. Why is using trains better?"
"Secondly, the environment would improve its state indeed, as far as I can see the pollution caused by the traffic is ruining monuments and making the air dirty and heavy, the same is as far as waste of time is concerned, obviously the fewer cars are around the quicker you can get where you want.","Secondly, the environment would improve. As far as I can see, the pollution caused by traffic is ruining monuments and making the air dirty and heavy. The same is true as far as waste of time is concerned. Obviously, the fewer cars there are around, the quicker you can get to where you want.","Great environmental point! Use ""traffic"" and ""the fewer cars there are"" for clarity. Why is clean air important?"
