"Input","Output","Updated Feedback"
"We hope to go to Colombia next year.","We hope to go to Colombia next year.","This is a clear and correct future plan. It effectively expresses your hopes. What do you plan to do in Colombia?"
"I like biathlon.","I like biathlon.","This is a clear and correct statement. It effectively expresses your interest. What do you like most about biathlon?"
"Really, I think it 's a very beautiful, interesting and breathtaking kind of sport.","Really, I think it's a very beautiful, interesting, and breathtaking kind of sport.","Good description! Add a comma before ""and"" in lists for proper punctuation. What specific aspects of biathlon do you find breathtaking?"
"In biathlon sportsmen need to run some races, which a very different, some of that are long, some are short.","In biathlon, sportsmen need to run races that are very different; some of them are long, and some are short.","Good detail! Add a comma after ""biathlon"" and use ""that are"" for correct verb form. Use a semicolon after ""different"" for clarity. What skills are needed for these races?"
"But, short distance does n't mean it 's will be easy or something like that.","But the fact that it is a short distance doesn't mean it will be easy or anything like that.","Good point! Remove the comma after ""But"" and use ""doesn't"" for correct form. Use ""anything"" (not ""something"") for better meaning. What makes short distances challenging?"
"Sometimes weather conditions are not comfortable for guys, for example: wind, light frog or freeze, all of that are very difficult conditions.","Sometimes, the weather conditions are not comfortable for people. For example, wind, light fog, or freezing temperatures are very difficult conditions.","Good observation! Use ""people"" (not ""guys"") and ""fog"" (not ""frog""). Add a comma after ""Sometimes."" What can help make these conditions more comfortable?"
"So, it 's not so easy like it seems.","So, it's not as easy as it seems.","Good reflection! Use ""as"" (not ""like"") for correct comparison. What makes it seem easier than it is?"
"That's why I like it.","That's why I like it.","This is a clear and correct explanation. It effectively expresses your interest. What other reasons do you have for liking it?"
"This sport are for real men.","This sport is for real men.","Good statement! Use ""is"" (not ""are"") because ""sport"" is singular. What qualities do you think make someone suited for this sport?"
"And also most of them are very attractive, big advantage for girls, whose like nice pictures.","Also, most of them are very attractive. A big advantage for girls, who like nice pictures,","Good observation! Remove ""And also"" and add a comma after ""Also."" Use ""who like"" (not ""whose like"") for correct phrasing. What other advantages do you see?"
"There is no future for public transport, because travelling by car is so much more convenient.","There is no future for public transport because traveling by car is much more convenient.","Good point! Use ""traveling"" (not ""travelling"") for consistent spelling. What could improve public transport?"
"That is what everyone say when we ask if they prefer public transport or car.","That is what everyone says when we ask if they prefer public transport or a car.","Good observation! Use ""says"" (not ""say"") to agree with ""everyone."" Add ""a"" before ""car."" What are the main reasons for their preference?"
"Using public transport can be not easy, because we have a strict time and normally we do not have a place to sit and that can be extremely desconfortable.","Using public transport can be difficult because we have a strict schedule, and normally we do not have a place to sit, which can be extremely uncomfortable.","Good detail! Use ""difficult"" (not ""not easy"") and ""uncomfortable"" (not ""desconfortable""). What could make public transport more comfortable?"
"Sometimes the employers do strike and we clients do not known in time as a result we can not get on time to work, that is one of the disadvantages of using public transport.","Sometimes the staff go on strike, and we customers do not know in time. As a result, we cannot get to work on time, which is one of the disadvantages of using public transport.","Good explanation! Use ""staff go on strike"" (not ""employers do strike"") and ""cannot"" (not ""can not""). What other disadvantages do you see?"
"One argument for not using the car is that the petrol price is very expensive, but the public transport tickets are also increasing, so that advantange are not so good actually.","One argument for not using the car is that the petrol price is very expensive, but the public transport fares are also increasing, so that advantage is not so good.","Good analysis! Use ""fares"" (not ""tickets"") and ""advantage"" (not ""advantange""). What could make public transport more appealing?"
"For me car is the best and you?","For me, the car is the best. And you?","Good expression of preference! Add a comma after ""me"" and ""The"" before ""car."" What do you think makes the car the best option?"
"Well however your choice is, it is necessary to be perfect for your daily life!","Well, whatever your choice is, it must be perfect for your daily life!","Good advice! Use ""whatever"" (not ""however"") and ""must be"" (not ""is necessary to be""). What factors make a choice perfect for daily life?"
"However you use Have a nice trip!","Whatever you use, have a nice trip!","Good encouragement! Use ""whatever"" (not ""however"") for correct meaning. What tips do you have for a nice trip?"
"People usually tell me I'm a cinema's enthusiast, and they are in the correct way. I prefer to spend my free time watching a good film especially when it is a thriller than doing sport,","People usually tell me I'm a cinema enthusiast, and they are right. I prefer to spend my free time watching a good film, especially when it is a thriller, rather than doing sports.","Good expression of interest! Remove the possessive ""'s"" from ""cinema's enthusiast."" Use ""rather than"" for correct comparison. What do you like most about thrillers?"
"If you want to see a good thriller, "" Regression "" will be your best option. I have seen it recently and in my opinion, it should be seen by everyone because I believe people would like it for many reasons.","If you want to see a good thriller, ""Regression"" will be your best option. I have seen it recently, and in my opinion, it should be seen by everyone because I believe people would like it for many reasons.","Good recommendation! Remove the extra spaces around ""Regression."" Add a comma after ""recently."" What are some of those reasons?"
"First of all, the director, who was Alejandro Amenábar, did a great job due to that, the spectators were waiting with bated breath as the final of this film will be.","First of all, the director, who was Alejandro Amenábar, did a great job because the viewers were waiting with bated breath to find out what the ending of this film would be.","Good analysis! Use ""because"" (not ""due to that"") and ""viewers"" (not ""spectators""). What made the ending so anticipated?"
"Secondly, the actors were fantastic and the main character, which was performed by Emma Watson (who is really hilarious), was amazing.","Secondly, the actors were fantastic, and the main character, who was played by Emma Watson (who is really hilarious), was amazing.","Good detail! Add a comma after ""fantastic."" Use ""who was played"" (not ""which was performed""). What made Emma Watson's performance stand out?"
"What's more, the plot is easy in order to understand.","What's more, the plot is easy to understand.","Good point! Remove ""in order"" for smoother phrasing. What elements of the plot were particularly clear?"
"The history took place in the USA a few years ago when the regression method was accepted by the doctors and cientifics.","The story took place in the USA a few years ago when the regression method was accepted by the doctors and scientists.","Good historical detail! Use ""story"" (not ""history"") and ""scientists"" (not ""cientifics""). What impact did this acceptance have?"
"Moreover, customs, make - up and special effects became ever more in reality the story.","In addition, the costumes, makeup, and special effects became ever more realistic in the story.","Good detail! Use ""In addition"" (not ""Moreover"") and ""realistic"" (not ""in reality""). What made these elements so realistic?"
"However, the soundtrack was awful, it didn't get having a scared.","However, the soundtrack was awful; it didn't manage to create a scare.","Good critique! Use a semicolon to join the ideas. Use ""create a scare"" (not ""get having a scared""). What could have improved the soundtrack?"
