"Input","Output","Updated Feedback"
"I love sports but I did not get much opportunities to play a sport. I born in a village in India, my parents are farmers like most of other villagers.","I love sports, but I did not get many opportunities to play a sport. I was born in a village in India, and my parents are farmers, like most of the other villagers.","Good start! Add a comma after ""sports"" to separate ideas. Use ""many opportunities"" (not ""much"") and ""was born"" (not ""born"") for correct grammar. What sports do you wish you could play?"
"The only play ground in our village was the school ground which was full of small rock and not good to play any sports.","The only playground in our village was the school ground, which was full of small rocks and not good for playing any sports.","Good description! Use ""playground"" (not ""play ground"") and ""rocks"" (not ""rock""). Add a comma after ""ground"" for clarity. What could make the playground better?"
"When I was a child I help my father on his jobs after my school.","When I was a child, I helped my father with his jobs after school.","Good reflection! Add a comma after ""child"" and use ""helped"" (not ""help"") for past tense. Use ""with"" (not ""on"") and ""after school"" (not ""after my school""). What jobs did you help with?"
"We bought television in 1888, after that I became a fan of cricket.","We bought a television in 1888. After that, I became a fan of cricket.","Good memory! Add ""a"" before ""television"" and a period after ""1888"". Add a comma after ""that"". What cricket teams or players do you like?"
"I was watching most of the matches.","I watched most of the matches.","Good use of past tense! Use ""watched"" (not ""was watching"") for simple past tense. Which matches were your favorites?"
"Sachin and Ganguly was my favorite cricketers, I love their batting.","Sachin and Ganguly were my favorite cricketers. I love their batting.","Good detail! Use ""were"" (not ""was"") to match the plural subject. Add a period after ""cricketers"". What do you like about their batting?"
"A MISTAKE","A MISTAKE","This seems to be a note. If this is part of a sentence, please provide more context for correction."
"It was summer holidays and Michael's family was in the airport waiting impatiently their flight to Mexico.","It was summer holidays, and Michael's family were at the airport, waiting impatiently for their flight to Mexico.","Good description! Add a comma after ""holidays"" and use ""were"" (not ""was"") for ""family"". Use ""at the airport"" and ""for their flight"" for correct phrasing. What were they excited about?"
"That was a special family it was so big; his father has 6 brothers!, so he has 17 cousins counting his little sister.","That was a special family; it was so big. His father has 6 brothers!, so he has 17 cousins, including his little sister.","Good detail! Add a period after ""big"" and use ""including"" (not ""counting""). Remove the comma after ""!"" and add one after ""cousins"". What makes this family special?"
"In total they were 32 pelople, a white kittie and a dog.","In total, there were 32 people, a white kitten, and a dog.","Good list! Use ""there were"" (not ""they were""), ""people"" (not ""pelople""), and ""kitten"" (not ""kittie""). Add commas for clarity. How did they all travel together?"
