"Input","Output","Updated Feedback"
"We told them that had to leave our house immediately.","We told them that they had to leave our house immediately.","Clearer phrasing! Add ""they"" for subject clarity. What was the hardest part about asking them to leave?"
"When everyone was out, we told of Matias because he organised a party without our permission.","When everyone was out, we told Matias off because he organised a party without our permission.","Good correction! Use ""told Matias off."" How did Matias react when you told him off?"
"He told us that he was really embarrassed about what had happened and he apologysed for her attitude","He told us that he was really embarrassed about what had happened, and he apologised for his attitude.","Good apology! Use ""apologised"" and ""his."" What did he say to show he was embarrassed?"
"In my opinion, in future people do n't be used public transport.","In my opinion, in the future people will not use public transport.","Good prediction! Use ""the future"" and ""will not use."" What do you think will replace public transport?"
"It will be not tredy because everybody will have his own car.","It will not be trendy because everybody will have his own car.","Good reasoning! Use ""will not be trendy."" What’s the best thing about having your own car?"
"These cars will be used alternative energy, for example energy of the Sun.","These cars will use alternative energy, for example energy from the Sun.","Good example! Use ""will use"" and ""from the Sun."" What’s the most promising alternative energy?"
"The modern science try to find new, more economic sources by energy.","Modern science is trying to find new, more economical sources of energy.","Good focus! Use ""is trying,"" ""economical,"" and ""of energy."" What’s the most exciting new energy source?"
"do you have best friend in your life?","Do you have a best friend in your life?","Good question! Capitalize ""Do"" and add ""a."" Who is your best friend?"
"what the meaning of friend?","What is the meaning of friend?","Good question! Capitalize ""What"" and add ""is."" What does friendship mean to you?"
"friend is people who will be there in your hard time and happy time, and friend is always encourage you all things you choose in your life.","A friend is a person who will be there in your hard times and happy times, and a friend always encourages you in all the things you choose in your life.","Good definition! Use ""A friend,"" ""person,"" ""times,"" and ""encourages."" What’s the best thing a friend has done for you?"
"friend is also be there when you sad and worse time. there is not ex'friend so respect your friend and they will more respect to you.","A friend will also be there when you are sad and in worse times. There is no ex-friend, so respect your friend, and they will respect you more.","Good advice! Use ""A friend,"" ""are,"" ""ex-friend,"" and ""respect you more."" What’s the best way to show respect to a friend?"
"Secondly, the student have a good body shape can easily to make new friends, and joining a sports team allows students to maintain good body shape.","Secondly, the student who has a good body shape can easily make new friends, and joining a sports team allows students to maintain a good body shape.","Good point! Use ""who has,"" ""make,"" and ""a good body shape."" What’s the best way to make new friends?"
"For instances, the students joining the sports team needs to do some basic physical training to maintain their body shape.","For instance, the students joining the sports team need to do some basic physical training to maintain their body shape.","Good example! Use ""instance,"" ""need,"" and ""their."" What’s the best physical training for students?"
"According, the boy or girl have strong muscles can let them look more attractive.","According to a boy or girl having strong muscles can make them look more attractive.","Good observation! Use ""According to,"" ""having,"" and ""make."" What’s the best way to build strong muscles?"
"Therefore, the student joining a sport team can maintain good body shape and it will let student become easier to make new friends.","Therefore, the student joining a sports team can maintain a good body shape, and it will make students more easily able to make new friends.","Good conclusion! Use ""sports team,"" ""a good body shape,"" and ""make students."" What’s the best thing about joining a sports team?"
"Peter looked at his watch and knew he had to do something immediately.","Peter looked at his watch and knew he had to do something immediately.","Perfect! No changes needed. What do you think Peter decided to do?"
"It is said that when you survive to a situation which has made you be at the limit, you change.","It is said that when you survive a situation that has taken you to the limit, you change.","Good reflection! Use ""survive a situation"" and ""taken you to the limit."" What’s the hardest situation you’ve survived?"
"And you can never return to be the one you used to be.","And you can never return to being the person you used to be.","Good point! Use ""being the person."" What’s the best thing about change?"
"You are no more the person that people have expected.","You are no longer the person that people knew.","Good phrasing! Use ""no longer"" and ""knew."" What’s the best way to handle people’s expectations?"
"But you do n't care about it.","But you don't care about it.","Perfect! No changes needed. What’s the best thing about not caring?"
"Every hard situation may be got over easily when you make a big effort.","Every hard situation can be overcome easily when you make a big effort.","Good advice! Use ""can be overcome."" What’s the hardest situation you’ve overcome?"
"Peter has been thinking about this secret party for months since the time he knew his mother was healed.","Peter had been thinking about this secret party for months since the time he knew his mother was healed.","Good detail! Use ""had been thinking."" What was the best part of the party?"
"He was taking care of her so that he was prevented from going to university.","He had been taking care of her, so he was prevented from going to university.","Good detail! Use ""had been taking care"" and add a comma. What’s the hardest thing about taking care of someone?"
"He had to refuse to all his dreams suddenly.","He had to give up all his dreams suddenly.","Good phrasing! Use ""give up."" What’s the best way to handle giving up dreams?"
"However, the destiny has given him another chance to follow them.","However, destiny had given him another chance to follow them.","Good detail! Use ""destiny"" and ""had given."" What’s the best thing about second chances?"
"Despite his strange behaviour, Peter 's mum did n't expect it at all.","Despite his strange behaviour, Peter's mum didn't expect it at all.","Good detail! Add a space after ""Peter."" What was the most surprising thing for her?"
"She felt blessed as she was given such a perfect son.","She felt blessed as she had been given such a perfect son.","Good detail! Use ""had been given."" What’s the best thing about having a perfect son?"
"It is said to happen once in life.","It is said to happen once in a lifetime.","Good phrasing! Use ""a lifetime."" What’s the best thing that happens once in a lifetime?"
"Peter has been kissed by her mum before, but this time was quite different.","Peter had been kissed by his mum before, but this time was quite different.","Good detail! Use ""had been kissed"" and ""his."" What made this time different?"
"Maybe he did n't notice it at all, but it was a farewell.","Maybe he didn't notice it at all, but it was a farewell.","Perfect! No changes needed. What’s the best way to say farewell?"
"Now Peter could fly on his own.","Now Peter could fly on his own.","Perfect! No changes needed. What’s the best thing about flying on your own?"
