"Input","Output","Updated Feedback"
"Sometimes, a lot of phrases and sentences runs in my head, but how to write it down correctly?","Sometimes, a lot of phrases and sentences run through my head, but how can I write them down correctly?","Good reflection! Use ""run"" (not ""runs"") because ""phrases and sentences"" is plural. Use ""them"" (not ""it"") to match the plural subject. Try writing down one phrase or sentence now to practice!"
"How can I use to use it?","How can I use it?","Good question! Remove ""to use"" because it is repetitive. ""Use it"" is clear and correct. What do you want to use?"
"How can I force my kids to do his homework?","How can I encourage my kids to do their homework?","Good question! Use ""their"" (not ""his"") because ""kids"" is plural. Instead of ""force,"" use ""encourage"" for a more positive approach. What strategies could help motivate them?"
"How can I explain them?","How can I explain it to them?","Good start! Add ""it to"" to clarify what you want to explain and to whom. What do you want to explain?"
"Michael is a handsome and kind person.","Michael is a handsome and kind person.","This sentence is correct! It describes Michael well. What other qualities does Michael have?"
"He lives next to his family's home.","He lives next to his family's home.","This sentence is correct! It clearly states where Michael lives. What is special about his family's home?"
"Michael got married his close friend since only one month.","Michael got married to his close friend only one month ago.","Good detail! Add ""to"" after ""married"" and use ""only one month ago"" for correct time expression. How did they celebrate their marriage?"
"But his mother hate his wife and always shout at her.","But his mother hated his wife and always shouted at her.","Good contrast! Use ""hated"" and ""shouted"" for past tense to match the story. Why do you think his mother acted this way?"
"Unlike his wife respect and love his mother and never complain to her husband these bad situations.","In contrast, his wife respected and loved his mother and never complained about these bad situations to her husband.","Good comparison! Use ""In contrast"" for better flow. Use ""respected"" and ""loved"" for past tense. What does this say about his wife's character?"
"Michael's only fault that he is a mamma's boy.","Michael's only fault is that he is a mama's boy.","Good observation! Add ""is"" after ""fault"" to complete the sentence. Use ""mama's"" for common spelling. How does this affect his relationships?"
"For he always defend his mother and always the wife is the responsible one.","Because of this, he always defended his mother, and his wife was always the one held responsible.","Good explanation! Use ""Because of this"" for clarity. Use ""defended"" for past tense. What consequences did this have?"
"His wife decided, because she loves him, to forgive and apologize for her mother-in-law.","His wife decided, because she loved him, to forgive and apologize to her mother-in-law.","Good detail! Use ""loved"" for past tense. Use ""to"" with ""apologize."" What does this show about his wife's character?"
"One day when Michael was out for work, his mother insulted and hit his wife.","One day when Michael was out at work, his mother insulted and hit his wife.","Good detail! Use ""at work"" for correct phrasing. How did this event affect the family?"
"Moreover she fired her without her mobile or money.","Moreover, she sent her away without her phone or money.","Good detail! Add a comma after ""Moreover."" Use ""sent her away"" for clarity. How did his wife manage without her phone or money?"
"His wife was sad and she cried a lot and she stood on street waiting for Michael.","His wife was sad and cried a lot as she stood in the street waiting for Michael.","Good description! Remove repetitive ""she"" and use ""in the street"" for correct phrasing. How did Michael react when he found her?"
