"Input","Output","Updated Feedback"
"Once he came, his mother asked him to up quickly acting that she was tired.","When he arrived, his mother asked him to get up quickly, pretending she was tired.","Good start! Use ""When"" instead of ""Once"" for better flow. ""Get up"" is clearer than ""up quickly."" ""Acting"" should be ""pretending"" for natural phrasing. Why do you think his mother pretended?"
"He saw his wife but said no words to her and continued hi way.","He saw his wife but said nothing to her and continued on his way.","Good detail! Use ""nothing"" instead of ""no words"" for natural phrasing. ""Hi"" should be ""his."" What do you think he was feeling?"
"His wife walked behind him until they reach home but his mother claimed that his wife told her cruel words and acted that she was crying.","His wife walked behind him until they reached home, but his mother claimed his wife had said cruel things to her and pretended to cry.","Good sequence! Use ""reached"" for past tense. ""Acted"" should be ""pretended"" for natural phrasing. Why do you think his mother lied?"
"Michael believed his mother although he observed marks of hitting on his wife's shape.","Michael believed his mother, although he saw bruises on his wife’s face.","Good contrast! Add a comma after ""mother."" ""Marks of hitting"" should be ""bruises,"" and ""shape"" should be ""face."" What made him believe his mother?"
"He fired his wife after insulting her.","He threw his wife out after insulting her.","Good action! ""Fired"" should be ""threw out"" for context. How do you think his wife felt?"
"She was shocked and apologized about a mistake she did not commit.","She was shocked and apologized for a mistake she hadn’t made.","Good emotion! Use ""hadn’t made"" for past perfect tense. ""About"" should be ""for."" Why do you think she apologized?"
"But his mother refused her apology and ordered him to close the door.","But his mother refused her apology and ordered him to close the door.","This sentence is correct! It uses proper tense and structure. What do you think happened next?"
"Michael closed the door and knew at that moment he had made a mistake.","Michael closed the door and realized at that moment he had made a mistake.","This sentence is correct! ""Knew"" could be ""realized"" for clarity. What was his mistake?"
"The light bulb.","The light bulb.","This is a valid fragment. It emphasizes the subject. What is special about the light bulb?"
"The light bulb was created on 1879 by Thomas Alva Edison.","The light bulb was invented in 1879 by Thomas Alva Edison.","Good historical fact! Use ""in"" instead of ""on"" for years. ""Created"" could be ""invented."" Why is this invention important?"
"This was one of the everyday invents that affects our lives.","This was one of the everyday inventions that affect our lives.","Good point! ""Invents"" should be ""inventions."" ""Affects"" should be ""affect"" for subject-verb agreement. What other inventions are important?"
"Edison said to created the first comercially practical incandescent light.","Edison is said to have created the first commercially practical incandescent light.","Good detail! Use ""is said to have created"" for passive voice. ""Comercially"" should be ""commercially."" Why was this light special?"
"He was neither the first nor the only person trying to invent an incandescent light bulb.","He was neither the first nor the only person trying to invent the incandescent light bulb.","This sentence is correct! It uses proper grammar. What challenges did he face?"
"Some historians claim there were 20 over inventors of incandescent lamps prior to Edison's version...","Some historians claim there were over 20 inventors of incandescent lamps before Edison’s version...","Good detail! Use ""over 20"" instead of ""20 over."" What made Edison’s version successful?"
"(taken from www.bulbs.com)","(Taken from www.bulbs.com)","Good citation! Capitalize ""Taken"" for proper formatting. Why is this source reliable?"
"Edison began a serious research about the incandescent light bulb on October of 1878...","Edison began serious research into the incandescent light bulb in October 1878...","Good timeline! Remove ""a"" before ""serious research."" Use ""in"" instead of ""on."" What did he discover?"
